topical	adj. 谈论的, 时事问题的, 总论的
ectopic	adj. [医]异位的，异常的
utopian	adj. 乌托邦式的, 梦想的 n. 空想家
topography	n. 地志, 地形学, 地势，剖析图
eccentric	n. 怪人 adj. 古怪的, 反常的
epicenter	n. 震中，中心
egocentric	adj. 自我中心的, 利己的
ethnocentric	种族[民族]中心主义的, 种族[民族, 集团]优越感的
dominion	n. 领土, 主权，统治 (复）dominions：天使阶级 Domimion： n. 英联邦的自治领
predominant	adj. 优越的, 占主导地位的
domineering	adj. 极权的, 作威作福的
domination	n. 支配, 控制, 管辖 （复数）dominations:[宗]主天使
omnivore	n. 不偏食的人，杂食动物
omnipotent	adj. 全能的, 无所不能的 Omnipotent：上帝
omnibus	n. 公共汽车, 公共马车, 精选集 adj. 综合性的, 总括的
omniscient	adj. 全知的, 无所不知的
holistic	adj. 整体的, 全盘的
hologram	全息摄影,全息图
holocene	adj.& n.[地]全新世(的),全新统(的)
holocaust	n. 大屠杀,浩劫
retroactive	adj. 反动的,追溯的,有追溯力的
retrofit	v.(飞机等）式样翻新，改进 n.翻新，改进
retrogress	vi. 倒退, 退化
retrospective	adj. 回顾的, 向后看的, 怀旧的 n. 作品回顾展出
temporal	adj. 当时的,暂时的,现世的 n. 世间的事物
contemporary	n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
extemporaneous	adj. 即兴的，不用讲稿的，临时的，权宜的
temporize	vt. 投机(因循,拖延,应付,妥协,迎合潮流)
chronic	adj. 长期的,慢性的,惯常的
chronology	n. 年代学，年表
anachronism	n. 时代错误, 不合潮流的人(物)
synchronous	adj. 同时的, 同步的
triad	n. 三个一组 n. &lt;音&gt;三和弦
trilogy	n. 三部曲
triceratops	n. 三角恐龙
trident	n. 三叉戟 adj. 三齿的
trimester	n. 三个月, 学期
trinity	n. 三位一体, 三人一组
triptych	n. 三张相联，三幅一联
trivial	adj. 琐碎的, 不重要的
