ambiguous	adj. 模棱两可的
ambient	adj. 周围的,包围着的,(尤指音乐）产生轻松氛围的 n. 环境
ambivalent	adj. (对同一人或物)有矛盾看法的,或矛盾感情的, 矛盾心理的，矛盾情绪的
ambit	n. 周围，范围，境界
epilogue	n. 结尾, 收场白 =epilog(美)
epiphyte	n. 附生植物
epitaph	n. 墓志铭
epithet	n. 浑名, 绰号
hypochondriac	n. 忧郁症患者 adj. 忧郁症的, 患疑病的
hypoglycemia	n. [医]血糖过低，低血糖症
hypothermia	n. [医]体温过低
hypothetical	adj. 假设的, 假定的, 爱猜想的
thermal	adj. 热的,热量的,保热的 n. 上升的热气流
thermodynamics	n. 热力学
thermonuclear	adj. 热核的
british thermal unit	n.英热单位(一种热量单位)
polyp	n. 水螅虫, 鼻肉, 鼻息肉
polyglot	adj. 通数国语言,数国语言的 n. 通数国语文的人,用数国语文记载的书
polymer	n. 聚合体
polygraph	n. 测谎器
primal	adj. 最初的, 原始的，最主要的，根本的
primer	n. 启蒙书, 识字课本
primate	n. 灵长目动物 n. (常大写)首席主教
primordial	adj. 原始的, 自原始时代的, 最初的
homonym	n. 同音异义字, 同名异物
homogeneous	adj. 同种的,同质的,均质的
homologous	adj. 相应的, 对应的, 一致的, [生物]同源的
homogenize	vt. 使均匀，使均质
dissuade	vt. 劝阻
disorient	vt. 使...失去方向感, 使...迷惑
discredit	vt. 使...不可信, 怀疑, 损害...的信用 n. 失信, 怀疑, 不信任
dislodge	vt. 逐出, 用力移出 vi. 移走，离开
ad hoc	特定, 专门, 临时
ad hominem	adv.从个人偏好出发
alter ego	密友 他我 另一个我 第二自我
de facto	adj. 事实上的, 实际的
quid pro quo	n. 补偿物，交换物，代用品
ex post facto	adv.事后的(地),追溯的(地)
modus operandi	&lt;拉丁文&gt;做法，惯用手法
modus vivendi	n. 生活方式, 暂时妥协
